variant,seed,recall1,recall10,median_rank,mrr,decode_spec,target_spec,val_denoise
R,0,0.9882,0.9971,1.0,0.9927,0.2977,0.2295,0.1963
R,1,1.0,1.0,1.0,1.0,0.3127,0.2284,0.1924
R,2,1.0,1.0,1.0,1.0,0.305,0.2329,0.1932
R,3,0.9971,1.0,1.0,0.9985,0.2748,0.2197,0.1974
R,4,0.9941,0.9941,1.0,0.9941,0.3032,0.2337,0.1911
F,0,0.2176,0.6735,5.0,0.3645,0.502,0.2295,0.4533
F,1,0.0118,0.0676,105.0,0.0375,0.8775,0.2284,0.5857
F,2,0.0235,0.1618,39.0,0.0761,0.7504,0.2329,0.5346
F,3,0.0794,0.3441,20.0,0.1608,0.5978,0.2197,0.518
F,4,0.0088,0.1294,59.0,0.0581,0.7566,0.2337,0.5551
