tag,seed,f1_B,AUC,accuracy,recall1,recall10,median_rank,mrr,decode_spec,val_denoise
F_e2e,0,0.6061,0.734,0.7706,0.0176,0.0882,78.0,0.0502,0.7743,0.5642
F_e2e,1,0.6701,0.7731,0.8118,0.0059,0.0471,111.5,0.0299,0.9141,0.5856
F_e2e,2,0.5952,0.7508,0.8,0.0029,0.0529,110.5,0.0267,0.8985,0.5905
F_e2e,3,0.5217,0.728,0.7412,0.0059,0.0441,137.5,0.025,0.9383,0.6077
F_e2e,4,0.5595,0.7178,0.7824,0.0029,0.0529,115.0,0.0289,0.8835,0.593
R_e2e,0,0.4551,0.6739,0.7324,0.9765,1.0,1.0,0.9873,0.3744,0.2479
R_e2e,1,0.4634,0.7172,0.7412,0.9882,1.0,1.0,0.9932,0.371,0.2428
R_e2e,2,0.4106,0.6979,0.7382,0.9882,1.0,1.0,0.9936,0.3661,0.2446
R_e2e,3,0.4286,0.7148,0.7176,0.9735,0.9971,1.0,0.9818,0.3614,0.2522
R_e2e,4,0.4,0.6576,0.7441,0.9765,1.0,1.0,0.9877,0.3752,0.2475
